,cv,npmi,uci,umass,diversity,result_num_topic,nr_topics,min_topic_size,embedding_model,UMAP_PARAMS,representation_model,n_gram_range,norm_score
65,0.7146171981612109,0.48175094701999577,1.2412728783993934,-1.6500356974188777,0.2696969696969697,99,100,10,paraphrase-multilingual-MiniLM-L12-v2,"{'n_neighbors': 10, 'n_components': 8}",KeyBERT,"[1, 3]",0.7489185510209134
61,0.7028221605452466,0.46762887106096634,1.0764715773077185,-1.7277712621631534,0.2585858585858586,99,100,10,paraphrase-multilingual-MiniLM-L12-v2,"{'n_neighbors': 10, 'n_components': 15}",KeyBERT,"[1, 3]",0.7173473619672769
13,0.6804704529049159,0.42110560816815473,1.1467112970813715,-1.6953619158990267,0.3122448979591837,49,50,10,paraphrase-multilingual-MiniLM-L12-v2,"{'n_neighbors': 10, 'n_components': 15}",KeyBERT,"[1, 3]",0.7065490868945424
37,0.671367541055134,0.4092130960895193,0.9566152119504628,-1.6340409723450817,0.34285714285714286,49,50,20,paraphrase-multilingual-MiniLM-L12-v2,"{'n_neighbors': 10, 'n_components': 15}",KeyBERT,"[1, 3]",0.6952936615547722
17,0.6714494014704635,0.39621959640485194,0.9921313534990394,-1.7525805603491655,0.3346938775510204,49,50,10,paraphrase-multilingual-MiniLM-L12-v2,"{'n_neighbors': 10, 'n_components': 8}",KeyBERT,"[1, 3]",0.6823156412118806
101,0.6482156290971312,0.4098473937988098,1.261568774869656,-1.3665708402209205,0.16262626262626262,99,100,10,/home/kw215/Documents/research_codes/Topic-modeling-evaluations/evaluation/tsdae_roberta_base_drug_submissions,,KeyBERT,"[1, 3]",0.6798995720977397
69,0.6891374510733312,0.4422717687291577,0.8975621477281095,-1.8815973392107206,0.2696969696969697,99,100,10,paraphrase-multilingual-MiniLM-L12-v2,"{'n_neighbors': 5, 'n_components': 8}",KeyBERT,"[1, 3]",0.6792352575319203
57,0.6661888349494228,0.4160006180710842,0.8678427295930773,-1.8596775468337485,0.25353535353535356,99,100,10,all-mpnet-base-v2,"{'n_neighbors': 5, 'n_components': 8}",KeyBERT,"[1, 3]",0.6519086964916156
64,0.6702203609646527,0.4057888571481056,0.7015534555597688,-2.0186118529064934,0.30505050505050507,99,100,10,paraphrase-multilingual-MiniLM-L12-v2,"{'n_neighbors': 10, 'n_components': 8}",KeyBERT,"[1, 2]",0.6396131083898124
53,0.6689642355086417,0.4082290953980081,0.8052324205382863,-2.112289676457821,0.2686868686868687,99,100,10,all-mpnet-base-v2,"{'n_neighbors': 10, 'n_components': 8}",KeyBERT,"[1, 3]",0.6318448418208431
85,0.6510161984332353,0.39091093948920275,0.7229905193724934,-1.8937295737152897,0.28020833333333334,96,100,20,paraphrase-multilingual-MiniLM-L12-v2,"{'n_neighbors': 10, 'n_components': 15}",KeyBERT,"[1, 3]",0.6275798433758036
21,0.6545586759197098,0.38660491548164416,0.648945877111394,-2.1607923902639916,0.3551020408163265,49,50,10,paraphrase-multilingual-MiniLM-L12-v2,"{'n_neighbors': 5, 'n_components': 8}",KeyBERT,"[1, 3]",0.6217848671477636
49,0.6607878885583465,0.38909745023453923,0.6717751045072812,-2.015113452338477,0.2727272727272727,99,100,10,all-mpnet-base-v2,"{'n_neighbors': 10, 'n_components': 15}",KeyBERT,"[1, 3]",0.6182765973773579
60,0.6578668322418387,0.39821148695433545,0.6234455841538126,-2.120092220179549,0.2919191919191919,99,100,10,paraphrase-multilingual-MiniLM-L12-v2,"{'n_neighbors': 10, 'n_components': 15}",KeyBERT,"[1, 2]",0.6142299353084815
9,0.6489313895122255,0.35701462100180087,0.6300087140365224,-1.982508717680298,0.336734693877551,49,50,10,all-mpnet-base-v2,"{'n_neighbors': 10, 'n_components': 8}",KeyBERT,"[1, 3]",0.6136676295673827
93,0.6445050944892711,0.3548391030343625,0.5596902256432101,-1.9052505175472387,0.28585858585858587,99,100,20,paraphrase-multilingual-MiniLM-L12-v2,"{'n_neighbors': 5, 'n_components': 8}",KeyBERT,"[1, 3]",0.5987977668463562
